"x" "y"
"Crowd_52.6" 334.526305750405 -284.159795423811
"Crowd_54.17" 310.007189532549 -201.774044185605
"Crowd_7.12" 365.837213510607 -13.9124921954971
"Crowd_8.28" 295.882206457766 -447.802247883255
"Crowd_9.24" -20.4302460856173 -72.0695114028939
"Crowd_9.8" 313.788189463339 -237.717744725817
"Cutjack" 330.826205818133 417.909715127854
"Daenerys Targaryen" 567.524068152157 -400.943580512332
"Daenerys's khalasar_31.12" 581.196351235226 -234.56041134503
"Dagmer Cleftjaw" -105.25211119966 715.220269596245
"Dancy" 179.166750260854 633.965101708364
"Dareon" -112.732327729405 -415.589114065778
"Davos Seaworth" -492.895712437361 -249.585694904184
"Desmond Grell" -623.874876706516 48.806380413795
"Devan Seaworth" -580.47062750101 -224.98759453449
"Dickon Tarly" -199.418359475991 -663.433584457392
"Donal Noye" -50.7464205306941 -327.990387749224
"Donella Hornwood" -131.812285713488 528.54860012402
"Donnel Waynwood" -36.7779041197144 271.929487933862
"Dontos Hollard" 322.753189299239 -32.4953200581186
"Doreah" 484.96310299673 -378.564371842653
"Dothraki_20.4.1" 802.973180509039 -184.967285599677
"Dothraki_20.4.2" 430.488370660531 -606.385916933335
"Dothrakis_11.22" 365.671963513631 -525.659890720073
"Dothrakis_11.26" 666.862016333823 -132.279993141153
"Dothrakis_15.22" 315.152939438358 -547.054332708285
"Dothrakis_15.27" 398.68356290937 -559.151866223437
"Dothrakis_20.3" 549.305935152299 -573.868749777956
"Dothrakis_20.9" 676.818182818247 -493.841190241858
"Dothrakis_22.19" 171.786508729279 -749.378419082423
"Dothrakis_22.26" 494.030319497426 -608.690133634633
"Dothrakis_23.24" 675.551516174766 -393.803122071682
"Dothrakis_23.27" 546.206435209033 -624.399467204067
"Dothrakis_3.24" 465.904253345593 -331.23595446467
"Dothrakis_31.14" 574.599876355972 -179.00891884346
"Dothrakis_44.4" 700.330207387871 -227.356111236754
"Dothrakis_51.15" 714.932598787247 -400.028963831919
"Dothrakis_6.21" 461.081020100547 -400.190247167676
"Dour Eddison Tollett" -263.389758305025 -353.799888137125
"Drogo" 451.197953614785 -462.954456444317
"Drogon" 481.633061391018 -280.530512035932
"Drogo's men_30.1" 360.358755277554 -433.730206005094
"Dywen" -262.428074989295 -409.492638974152
"Ebben" -439.123505088302 -270.224270214369
"Eddard Stark" 12.507983311464 -204.050935886492
"Edmure Tully" -410.756497274213 -2.42763702288676
"Elia Martell" 373.347413373136 -387.672013646202
"Endrew Tarth" -312.289115743279 -560.244249573188
"Eon Hunter" 10.6884241781036 411.944515038201
"Falyse Stokeworth" 264.014923707749 166.74666135303
"Farlen" -384.957881079778 35.4643427132726
"Farmers_5.9" 381.190438229573 -264.226928457566
"Firemage_44.7" 797.561963941423 -234.573969678568
"First man_23.10" 793.236297353935 59.0037347337216
"First men_23.10.1" 818.701380221142 101.201460367927
"First men_23.10.2" 251.276682274249 -781.889836237716
"Flement Brax" 108.514276554114 434.080315370888
"Frey men_19.20" -223.351159037913 517.130958285754
"Frey men_9.6" -9.80196294682946 262.260929455216
"Frey's court_19.21" -225.899175657939 640.584851807855
"Freys_54.5" 270.496256922444 643.739018521927
"Gared" -103.842502892129 -158.809618539877
"Gariss" -529.11704510768 231.985095666857
"Garlan Tyrell" 294.386439818479 -131.47893479578
"Gelmarr" -544.390544828105 133.244027516173
"Gendry" 294.104706490303 256.322137699294
"Gerold Hightower" 90.9963127081057 -543.197582650321
"Ghost" -215.270217519164 -142.984809968706
"Gilly" -449.131379905113 -479.125998354031
"Girl_13.3" -6.17862967981966 -319.97424596208
"Gladden Wylde" 63.1972573836209 -275.959461967232
"Godwyn" 510.101352536586 213.907662061831
"Gold cloacks_50.8" 170.649675416755 405.009731600642
"Gold cloacks_54.17" 283.227856689398 -226.656702892909
"Gold cloaks_16.23" 663.570183060746 188.0496116732
"Gold cloaks_21.23" 733.561465112922 329.498305465752
"Gold cloaks_21.27" 357.945805321722 -70.5532005467713
"Gold cloaks_28.10" 298.560048075416 325.625397074212
"Gold cloaks_29.6" 413.585504303263 -24.6769323572798
"Gold cloaks_49.4" 202.619691498226 568.071350718023
"Gold cloaks_5.15" -685.098958919171 190.18676170532
"Gregor Clegane" 353.970438727822 105.365660430512
"Grenn Aurochs" -92.6077864311083 -329.821462776744
"Grey Wind" -177.287418214421 39.8423594457381
"Greyjoy men_42.12" -636.010209817718 321.573630346649
"Greyjoy men_47.8" -451.272496532587 197.253303478193
"Greyjoy men_48.19" -508.282487155713 146.222627711234
"Greyjoy men_55.15" -454.370796475874 395.209064786677
"Guard_10.14" 508.550477564974 165.173477996053
"Guard_42.21" 635.841741901635 291.382029892889
"Guard_50.17" -652.760734511107 -102.207717689186
"Guard_54.14" 673.107566219502 -55.7531878243365
"Guards_11.16" -144.126385488085 654.594435351744
"Guards_17.27" 644.686766739731 -540.206415938698
"Guards_21.24" 695.631265807216 289.097988191894
"Guards_23.23" 338.926689003191 -589.57316668065
"Guards_3.8" -92.8948614258535 53.9166679905994
"Guards_33.18" 471.19495324875 -199.222319147254
"Guards_37.18" 7.15408674279786 31.7249759904055
"Guards_39.16" -50.3987288703917 -751.576752448796
"Guards_40.19" -438.65071343029 -160.460493564688
"Guards_47.20" 581.04081790474 385.342706305059
"Guards_5.21" 55.7915415191791 153.842177825751
"Guards_52.6" 405.864437777927 -219.213436114375
"Guests_2.12" -183.967051425487 -94.3201925706411
"Guests_35.5" -135.155868985619 323.23729703832
"Guests_36.20" -283.95632459523 -212.03978600656
"Guests_37.10" -606.816960352086 380.749481236025
"Guests_51.11" -206.11785935336 -70.374708877422
"Guests_55.7" 59.9094166104699 399.274056514438
"Guncer Sunglass" 10.0830116891854 -762.425502611846
"Gunthor" 90.6885052137399 528.004883449182
"Guyard Morrigen" -548.000544762026 -264.041686788115
"Gynir Rednose" -567.126686078598 182.202469918655
"Haggo" 428.539687362868 -510.986248832871
"Halder Stone Head" -114.443844364743 -289.204453832963
"Hali" -286.6895745452 -19.7221889494798
"Hallis Mollen" -324.541573852337 -91.6155758633257
"Hallyne" 448.977395322098 16.457110760939
"Harra" 688.196599276637 102.71871039073
"Harrag Sharp" -361.221281514265 434.65888204625
"Harrenhal staff_39.16" -73.7456367763709 -798.576053155166
"Harrion Karstark" -503.696045572999 353.771847497235
"Harys Swyft" 429.032020687189 140.205460954133
"Helman Tallhart" -187.256418031943 560.913933943784
"High Septon_27.1" 316.337906083334 -75.8942031270434
"High Sparrow" 457.5744368314 303.646055077209
"Hobb Three-Finger" -47.430195591396 -374.565805115891
"Hobber Redwyne" 355.178822039037 -203.090760872061
"Hodor" -318.438215630723 242.39607915666
"Host_39.15" -663.123842654749 143.753494340791
"Host_49.20" -400.815097456186 -447.385431210324
"Hoster Tully" -520.458795266165 44.4175678478339
"Hot Pie" 417.6644792286 335.087980549762
"Hother Umber" -616.698576837874 164.054061312562
"Howland Reed" -6.76829633569275 -460.915748080343
"Hubard Rambton" 95.2162992975275 -807.70775329241
"Hugh of the Vale" 778.39434762561 -48.8120668866825
"Illyrio Mopatis" 449.115561986236 -256.210578337086
"Illyrio's men_1.29" 422.25785414452 -361.187888248162
"Ilyn Payne" 184.231400168148 -212.383627678394
"Innkeeper_28.5" 255.068948871501 502.925016405581
"Innkeeper_9.4" -22.3221093843209 227.357595597308
"Ironbelly" 536.101135394006 121.036910666041
"Irri" 493.106519514335 -435.874631037324
"Jacelyn Bywater" 11.7880266579758 119.979810650154
"Jafer Flowers" -315.464190685161 -506.327498762853
"Jaggot" 6.1893984271228 577.194767521808
"Jailer_18.24" 134.38698441386 -572.13158308518
"Jaime Lannister" -36.3919291267795 108.164352139242
"Jalabhar Xho" 231.501357636227 -179.800627188692
"Janos Slynt" 192.91204167592 -155.211243485795
"Jaqen H'ghar" 437.741353861102 433.663765364627
"Jarman Buckwell" -154.966660289659 -572.02219141687
"Jason Mallister" -273.364533122442 562.247517297161
"Jeor Mormont" -149.534552055757 -344.892396336584
"Jeyne Poole" 361.541605255902 -118.131812928515
"Jhiqui" 556.228518358917 -475.093789960097
"Jhogo" 639.410308502981 -363.768079953607
"Joffrey Baratheon" 147.706967503377 6.77180894870833
"Jojen Reed" -395.610164218127 193.178245083614
"Jon Snow" -195.842884541439 -236.294711371096
"Jon Umber" -215.229817519903 369.187864395595
"Jonos Bracken" -254.084266808691 467.70880754297
"Jorah Mormont" 529.639652178947 -322.686746002848
"Jorah Mormont's first wife_31.18" 234.42945758263 -625.541667221234
"Jory Cassel" -270.896599834283 -72.0119539020288
"Joseth" -489.483762499815 194.280970100187
"Joss" 25.235348911829 -347.88670471492
"Joyeuse Erenford" -318.504173962848 638.826718448098
"Jugglers_35.8" -284.431607919864 359.873472588939
"Karstark men_17.16" -503.480962243603 87.3026101590359
"Karyl Vance" -71.4834951511117 -248.660628223615
"Kenned the Whale" -465.949421263933 430.844015322248
"Kevan Lannister" 265.056907022009 319.620763650632
"King's soldiers_2.1" 32.3164079488802 -618.175858777197
"King's stewart_16.7" 226.258374398864 -314.869887552032
"Kingsguard_18.14" 131.662092797071 -227.651311241191
"Kingsguards_2.3" 37.3230878572352 -444.43071449925
"Kingsguards_26.17" 374.976938343308 -157.909076859675
"Kingsguards_34.8" 347.654355510102 144.603269353562
"Kingsguards_41.10" 158.477283972898 350.420322446864
"Kingsguards_41.5" 155.574175692705 -696.272784950945
"Kingsguards_52.4" 381.046538232207 79.1687017034551
"Knight from the Vale_9.10" 432.771087285414 -169.899368706549
"Knight_11.13" -714.370791716698 24.8554758871612
"Knight_36.17" -289.91424115284 -144.811734996164
"Knights_9.28" 92.9591751721765 -606.239583597802
"Kromm" -378.991514522323 478.009849364455
"Kyra" -373.230406294444 380.740631235892
"Lady" -69.9763368453662 25.4919542300605
"Lancel Lannister" 251.306807273698 96.7473103009839
"Lannister guard_19.11" 194.620016644656 369.843597738783
"Lannister man_19.14" 236.880407537766 339.65890561846
"Lannister men_12.27" -57.4937787405202 -180.150885527289
"Lannister men_16.16" 574.725684687002 -8.87449128644562
"Lannister men_16.3" 87.7710186004764 -430.088547617029
"Lannister men_18.11" 565.860184849281 -110.96554782081
"Lannister men_19.6" 76.1517029798291 461.312182446832
"Lannister men_21.11" 145.016184219298 534.826883551712
"Lannister men_21.5" -24.6283126754404 673.166877297542
"Lannister men_23.13" 479.321886433323 270.40144624423
"Lannister men_23.15" -346.141631790291 -701.987301703497
"Lannister men_23.21" -44.30378731529 720.374103007038
"Lannister men_27.21" 156.737950671403 682.417269103237
"Lannister men_27.3" 101.1507541889 689.377352541176
"Lannister men_34.19" 481.299103063798 417.864040127167
"Lannister men_39.22" 606.568767437463 340.059597291149
"Lannister men_42.23" 583.652409523602 100.258993687096
"Lannister men_43.13" 274.279248519865 130.524077475294
"Lannister men_46.7" -692.559575449275 -71.3745397257823
"Lannister men_47.23" 468.50597829797 598.899517848017
"Lannister men_51.4" 369.926396769089 17.7232474466351
"Lannister men_52.11" -238.520858760239 -291.420562199603
"Lannister men_53.10" 457.4287701674 146.107994376177
"Lannister men_9.5" 81.1201378888844 381.149231242033
"Lark the Sisterman" -512.822045405952 -486.146290126209
"Last Hero" -42.3272040181371 -671.007417904556
"Last Hero's companions_7.23" 10.4643266822056 -663.389284456727
"Little Walder Frey" -423.169213713671 237.422012415237
"Lollys Stokeworth" 225.915791071802 159.573694578558
"Lommy Greenhands" 423.219104126925 383.111097938186
"Loras Tyrell" -62.1147536559355 -120.743888801106
"Lorch men_32.16" 380.125938249058 410.425931682044
"Lorch's men_39.19" 467.908286642244 488.041399515222
"Lord of Bones" -500.591795629821 -343.8221963205
"Lord Varys" 38.1460645088378 -100.126267657903
"Lothar Frey" 52.3325549991607 -316.07143757009
"Lothor Brune" 408.226154401364 -119.886281288217
"Lucan" 708.856265565139 374.168431137116
"Lucas_39.15" -706.511350193894 126.091360742007
"Lyanna Stark" -109.415002790127 -81.2083940402457
"Lynesse Hightower" 211.643707999712 -718.337501949231
"Lysa Arryn" -58.5380953880712 460.70701577107
"Mace Tyrell" 328.416330862245 -114.620551209076
"Maege Mormont" -234.769108828913 392.189473074628
"Maester Aemon" -188.608851340521 -315.638995896924
"Maester Ballabar" 6.25735342587893 727.813936452187
"Maester Colemon" -129.328152425626 403.822764916136
"Maester Cressen" -687.471375542412 -265.348020141082
"Maester Luwin" -334.767856998483 319.945413655512
"Maester Pycelle" 111.000601508603 -77.7680089885388
"Maester Pylos" -570.030794358773 -371.838880074907
"Maester Vyman" -612.923343573645 -11.2169871549853
"Maester Wolkan" 220.766874499384 662.123518798234
"Mago" 508.525152565438 -475.795948303983
"Maid_10.16" 614.91418395137 186.759986653818
"Maid_11.18" -95.4009113799814 622.273884865986
"Maid_29.18" -625.642293340831 -393.213330396151
"Maid_3.19" 128.426738689626 352.012014137453
"Maid_34.4" 466.904136660624 -35.3642022679028
"Maid_42.21" 616.566350587795 420.548015167506
"Maid_42.22" 763.928131223741 185.221803297367
"Maid_47.23" 665.528599691564 2.91118389068561
"Maid_5.31" -507.292087173842 -26.9434677246777
"Maid_8.3" 317.090906069551 -339.552196256325
"Maiden_3.3" 247.927674002218 247.70565423646
"Maids_16.20" 647.44676668921 377.135764515047
"Mallister men_9.3" -320.705590589219 567.802267380645
"Manderly men_18.3" -323.288965541932 399.567764852186
"Manderly men_33.4" 396.184887955107 -668.948584540279
"Mandon Moore" 313.929331127422 141.95429431375
"Margaery Tyrell" -346.496381783798 -129.731393102849
"Marillion" -58.0928287295549 300.922663369612
"Marq Piper" -27.3706509585764 -288.832928827379
"Mathis Rowan" -332.933965365385 -229.245736265154
"Matthar" -149.311560393172 -394.378480413663
"Meera Reed" -364.142398127462 229.468395629032
"Melessa Florent" -250.530650207072 -644.401500838019
"Melisandre of Asshai" -537.047794962511 -189.965244008126
"Meraxes" -146.921335436924 -712.009535187459
"Merchant_51.17" 702.812099009108 -339.237054584922
"Meryn Trant" 285.103548321731 12.1953565302209
"Messenger_21.15" 391.806454701919 315.848630260606
"Mikken" -266.735483243783 18.095539118897
"Miller's wife_51.11" -240.384800392787 -94.139634234594
"Mirri Maz Duur" 537.290268705573 -520.567082310198
"Mord" 520.693852342696 -43.3308880543037
"Mors Umber" -625.552960009133 216.876162106445
"Mother_31.13" 323.705789281802 -648.756459236804
"Murch_2.5" 277.137473467547 420.230223496063
"Murch_48.19" -559.815744545754 275.684471323631
"Mya Stone" -74.1012951031942 508.369683154077
"Mycah" 368.237396800006 136.321177562421
"Myrcella Baratheon" 293.573956500018 203.725828575471
"Nestor Royce" -6.47068800780698 461.706349119423
"Night's watch man_17.10" -207.692992657861 -603.584000224557
"Night's watch man_20.26" -425.090630345167 -561.987582932722
"Night's watch men_15.3" -208.630775974029 -382.286580231929
"Night's watch men_15.8" -271.876524816346 -475.028414959114
"Night's watch men_17.10" -49.6860788834364 -498.975115319018
"Night's watch men_17.3" -220.6057174215 -504.399332067207
"Night's watch men_20.25" -78.1387450292905 -462.412206436167
"Night's watch men_31.4" -306.880924175607 -331.718412805254
"Night's watch men_31.8" -105.526111194644 -585.219833281889
"Night's watch men_35.11" -109.41042779021 -524.33783236687
"Night's watch men_41.20" 303.366206320775 -705.015751749013
"Night's watch men_41.21" -206.508176012882 -552.761632794062
"Night's watch men_41.23" -364.583939786047 -532.172440817953
"Night's watch men_45.19" -486.619379218913 -440.360181104739
"Night's watch men_7.3" -120.849327580827 -178.807402173764
"Night's watch men_8.17" -308.921482471588 -441.146914449896
"Night's watch prospects_26.5" 327.57580587763 369.623097735469
"Night's watch recruits_13.10" -51.8391121773595 -421.912664160818
"Night's watch recruits_27.6" -260.354800027245 -584.714049940954
"Night's watch recruits_8.21" -126.525977476918 -467.206464841555
"Night's watch recruits_8.22" -303.251824242036 -621.712333830348
"Night's watch soldiers_6.10" -406.754880680794 -508.415832127573
"Night's watch soldiers_6.9" -385.76067273175 -265.104745137426
"Northern lords_23.18" -201.243484442583 463.195599141806
"Northern prisonners_47.13" 499.743819392843 532.983516857341
"Northmen_55.14" -277.74202470898 413.971723402002
"Nymeria" -31.1215092232521 45.6515178663795
"Ogo's khalasar_20.4" 753.561181413503 -148.604093386494
"Old Nan" -502.746903923706 377.370239518571
"Old woman_28.5" 223.830641109969 468.107849215634
"Old woman_31.13" 165.883825503992 -626.573750570079
"Orell" -439.898496740783 -413.313914031584
"Osha" -342.603798521716 10.4728806709998
"Osha's brother_17.20" 44.4894118927259 -710.426251830329
"Osmund Kettleblack" 323.625655949936 -164.121393619709
"Osney Kettleblack" 449.222836984272 -85.2242507672681
"Oswell Whent" 43.1110285846231 -507.383115445385
"Other_1.5" 255.905815522849 -566.254474663518
"Others_7.23.1" 119.718351349029 -755.433335840091
"Others_7.23.2" -516.803211999745 -558.275191210261
"Others_7.24" 123.474931280267 -653.158584302966
"Othor" -229.171925598033 -446.281456193732
"Outriders_31.13" 776.876380986729 -102.003406019448
"Parmen Crane" -628.028576630484 -245.430286508398
"Passerbys_29.11" -81.3078533046148 -702.740585048152
"Patchface" -650.691459548984 -294.692703915448
"Patrek Mallister" -365.83266476319 546.384017058742
"Petyr Baelish" 121.307084653281 -159.759476887486
"Mebble Pinkeye" 636.099850230244 85.2403434613747
"Podrick Payne" 398.435479580577 30.7401643089378
"Polliver" 553.03498508404 431.723290335463
"Poxy Tym" -522.404753563878 181.864869913581
"Prisonner_20.5" 449.22479531757 -701.532543363329
"Prisonner_38.4" 379.82937158782 673.654143971532
"Prisonner_38.5.1" 227.667091039745 721.222153019783
"Prisonner_38.5.2" 118.807089699043 742.084770000002
"Prisonner_38.5.3" 324.819439261417 692.226602583998
"Prisonner_38.5.4" 176.206991981698 731.64039484303
"Prisonners_20.11" 478.485069781974 -510.664248828032
"Prisonners_38.4" 576.754517983198 296.703738306204
"Prisonners_54.21" 244.994357389244 -218.966619443999
"Prostitutes_12.26" 51.5467844302107 -383.340930247775
"Prostitutes_40.8" 14.2453141129964 638.435635108887
"Prostitutes_6.17" 138.927109330755 -446.612772865378
"Puppeteer_13.23" -280.188774664194 514.723474916237
"Pyat Pree" 617.050792245594 -271.227770229451
"Pypar Pyp Monkey" -67.0852535649528 -288.294870485959
"Qarth warlocks_8.19" -36.8498374517311 -616.818833756802
"Qhorin Halfhand" -359.351048215166 -356.922013184049
"Qotho" 507.591160915868 -550.855299432078
"Quaithe of the Shadow" 648.54835000238 -232.66478631654
"Quaro" 594.819042652536 -504.02958206165
"Queen's men_29.12" 39.2499028219659 -810.43067
"Quhuru Mo" 533.009352117266 -213.494894361762
"Rafford" 517.988552392215 387.823373009008
"Ragwyle" -404.229964060345 -377.811963498012
"Rakharo" 633.931900269927 -430.902747629266
"Rambton's 3 sons" 64.9177031854622 -760.294502579818
"Ramsay Bolton" -482.336379297311 243.200795835421
"Randyll Tarly" -158.329801894765 -631.466725643617
"Rapists_20.6" 628.767558697791 -479.894331698912
"Rast Rat" -172.587659967114 -418.477664109192
"Raymun Darry" 19.9745065081262 -288.708970492183
"Red Lorren" -524.468128526109 482.933066105114
"Red Rolfe" -396.940214193781 404.572681594073
"Renly Baratheon" -144.116768821594 -125.018714698687
"Renly's men_36.15" -373.668331286428 -72.073600569622
"Renly's men_36.16" -296.226191037303 -49.0083785562995
"Renly's men_39.5" -384.002906097259 -211.099235992424
"Renly's men_40.14" -460.191963035987 -107.850930274
"Rhaegal" 600.43565088306 -308.667470792146
"Rhaegar Targaryen" 278.822106770044 -279.905895359878
"Rhaego Targaryen" -289.957466152049 -732.90008550143
"Rhaenys Targaryen" 350.382855460158 -748.901110741916
"Rhaenys Targaryen I" -109.537836121212 -746.568835706863
"Rickard Karstark" -419.106130454711 80.8781183958132
"Rickard Stark" -114.899352689738 -44.5577993227434
"Rickon Stark" -169.630885021237 201.283045205424
"Robar Royce" -406.765964013925 -116.78322624158
"Robb Stark" -94.2921614002765 179.857003216737
"Robb's host_19.16" -155.388626948601 436.997932081404
"Robb's men_17.24" -357.697748245429 610.462459688468
"Robert Arryn" -123.787702527041 476.216432670834
