"x" "y"
"2 Kingsguards_15.13" 242.585990766662 -463.379164784033
"2 Night's watch men_7.9" 564.044709882512 217.216403778226
"2 Others_17.21" 286.273439966984 -613.059417033634
"2 Septas_9.20" 186.633666790843 -479.795881697433
"3 giants_17.20" -11.7198795783896 -715.192585235298
"3 others_1.7" 200.598074868564 -584.212916600089
"3 soldiers_8.10" 258.087582149579 -403.788955555096
"3 Tarly soldiers_8.20" -124.682960843987 -665.1330011496
"4 crones" 379.236388265341 -616.369375416714
"4 Night's watch men_45.21" -471.688129492222 -529.386499109415
"5 Night's watch men_45.21" 777.027430983964 1.98932554349733
"5 Stark men_13.3" -1.41388810036938 -524.683915705405
"Aegon Targaryen" -131.439652386976 -789.248669681648
"Aenys Frey" 237.18799086547 607.366851308609
"Aeron Greyjoy" -560.103269540492 385.139206302
"Aerys Targaryen" 229.849424333132 -275.378828625172
"Aggar" -514.21212871384 293.753654928533
"Aggo" 661.050074773541 -312.005229175644
"Alayaya" 170.240142090918 456.755349045013
"Albett Pimple" -100.996769610885 -379.371305188114
"Alebelly" 69.5270539344236 -660.577084414461
"Alester Florent" -595.133710565943 -287.738995477605
"Allard Seaworth" -662.783542660978 -161.12951024141
"Alliser Thorne" -91.1832031238513 -200.715135836357
"Alyn" 97.2660000933421 -251.014728258995
"Amabel" 682.439132715358 52.3539179671122
"Amory Lorch" 360.091138615786 513.296933228131
"Andar Royce" -38.3027124251369 614.987709756479
"Aron Santagar" 188.518050089683 -260.542036735518
"Arryn men_12.15" -46.4272122764218 554.785075518338
"Arryn men_12.21" -17.1284544793883 508.541683156662
"Arthur Dayne" 45.2806485449092 -564.523916304175
"Arya Stark" 396.34258795222 228.917120620747
"Arys Oakheart" 243.513632416349 51.0396262806926
"Asha Greyjoy" -516.388962007328 431.518515332386
"Asha's men_51.6" -584.53737742657 328.292122114291
"Audience_26.17" 390.93042138462 -73.9309055975363
"Audience_37.18" -0.912304776217297 59.9470347478987
"Bael the Bard" -247.829741923177 -701.285701692953
"Balerion" -194.658026229794 -717.156118598142
"Balon Greyjoy" -567.199044410607 438.271515433879
"Balon Swann" 279.081823431956 -171.629493732551
"Baratheon men_25.23" -712.876208410722 -126.374676385733
"Baratheon men_9.20" 136.078067716239 -501.053207016917
"Barra" 272.986273543532 -506.351082096541
"Barristan Selmy" 146.573517524125 -266.757803495604
"Bedmaids_22.9" 418.178545885856 -300.08941232989
"Bedwyck Giant" -310.611999107311 -385.874080285847
"Benfred Tallhart" -628.021251630618 275.610387989184
"Benjen Stark" -147.665493756636 -67.0786729945514
"Beric Dondarrion" 112.459293148569 -299.176937316176
"Beth Cassel" -57.5883704054554 243.342554170885
"Big Walder Frey" -430.650546910062 153.124494481631
"Biter" 392.305188026123 454.640099013222
"Black Lorren" -420.246088767178 301.719371714919
"Blacksmiths_32.7" 529.851768841731 69.7937765625559
"Blacksmiths_8.30" 503.733519319813 -94.0573175666902
"Bloodmage_22.24" 504.311519309233 -668.632301202193
"Bolton men_47.23" 294.924789808625 577.984100867005
"Bolton men_55.22" -448.769379911739 478.039682698236
"Boros Blount" 341.329638959206 42.8288636572901
"Bowen Marsh" -138.573260589732 -196.135652434197
"Bracken men_9.6" -23.0409043711637 403.968598251661
"Bran Stark" -174.207076604139 116.594935599281
"Brandon Stark" -151.977043677715 -8.09373544137816
"Brandon Tallhart" -231.632283886331 582.111884262376
"Brandon's daughter_48.12" -399.4467141479 -666.28291783355
"Brandon's grandson_48.12" -447.183963274093 -629.858167286108
"Brave Companions_39.17" 515.51510243749 587.76038434727
"Brave Companions_46.13" 365.142788523318 626.981218270068
"Brave Companions_47.24" 276.847123472861 699.916436032905
"Brienne of Tarth" -423.724713703503 -64.6997287921308
"Bronn" 11.182738335722 334.329622205031
"Bryce Caron" -439.254463419238 -211.512610998636
"Brynden Tully" -114.997202687947 357.391247551632
"Cadwyn" 439.511120495374 639.061651784962
"Captain_30.13" -263.447316637305 675.689310668786
"Captain's daughter_30.13" -203.359776070512 688.744602531666
"Castle children_26.13" -419.109630454647 49.0846562513107
"Cat_10.14" 476.254103156144 192.183778402001
"Catelyn Stark" -307.516274163977 121.393052338061
"Catspaw assassin_4.24" -478.664521031189 17.7845782808902
"Cersei Lannister" 64.0536573679449 77.1557100065343
"Cerwyn men_33.12" -599.414743820914 115.56086058374
"Chataya" 72.7302172091245 643.250185181246
"Chataya's prostitute_12.25" 222.389191136355 -522.773024010019
"Chella" 99.8568433792512 355.468997522742
"Chett" -354.24041497538 -467.193956508034
"Child of the forest_23.10" 830.78268 28.5709176096688
"Children of the forest_23.10.1" 829.192713362437 -26.9845154752946
"Children of the forest_23.10.2" 811.770347014678 157.539344547984
"Children of the forest_23.10.3" 203.594174813722 -791.368753046845
"Children of the forest_7.23" 302.236189674793 -766.215752668811
"Children_46.5" -663.348759317298 20.1030758157358
"Chiswyck" 540.262351984504 345.314630703462
"Clansmen_10.8" -48.6517039023702 207.974970305999
"Clansmen_13.22" 56.8953369989746 590.747651058833
"Clansmen_21.11" 154.020038221153 584.300267628599
"Clansmen_21.5" 569.618184780492 43.7430761710301
"Clansmen_26.20" 202.313999837155 -666.875417842454
"Clansmen_27.13" 221.880932812325 413.475156727872
"Clansmen_49.4" 123.977526271067 635.088518391915
"Clegane's squire_9.25" 625.274317095067 -85.1742007665158
"Cleos Frey" -115.395811013984 80.5501933908847
"Cley Cerwyn" -346.03319012561 383.938847950626
"Clients_28.5" 252.59344058348 548.999100431379
"Clients_40.8" 36.3436862084961 683.967560793203
"Clients_5.14" -181.362134806502 616.273518109138
"Clients_6.17" 205.555499777821 -428.838622598244
"Clients_9.4" 9.07472837430817 236.050404061289
"Cohollo" 455.508053535891 -564.522299637484
"Colen of Greenpools" -345.285840139289 -36.2225206974695
"Conn" 44.023386067923 492.037099575275
"Cook_39.24" 666.877183000212 241.684404145964
"Cook_8.19" -86.4845698765241 -632.758667329701
"Cooks_47.19" 552.426976761836 502.332183063337
"Cortnay Penrose" -621.862093410025 -192.591619047599
"Craster" -66.0676619169126 -549.684166081143
"Craster's wife_35.13" -159.685718536612 -518.999832286643
"Craster's wife_35.14" -359.558864878028 -413.055497361033
"Crawn" 220.843007831323 316.897980276377
"Crowd_16.24" 723.972348621779 245.08386253039
"Crowd_18.14" 222.42787446898 -247.154686534315
"Crowd_21.23.1" 670.468149601148 332.775055515
"Crowd_21.23.2" 758.541514655673 283.863388113221
"Crowd_21.25.1" 733.345806783536 41.2605969670533
"Crowd_21.25.2" 758.409131324764 134.402910866924
"Crowd_21.26" 828.576721707046 -82.4319840586354
"Crowd_21.26.1" 637.073433545756 136.835419236816
"Crowd_21.26.2" 358.610580309553 -41.7409459470746
"Crowd_27.21" 60.9591107579224 728.078378122828
"Crowd_29.13" -678.400959041775 -217.442786087763
"Crowd_33.17" 525.227877259703 -152.285551775158
"Crowd_33.4" 399.944246219627 -726.396535403686
"Crowd_35.4" -83.5928699294554 669.524768909471
"Crowd_36.8" 473.434561541088 355.885264195665
"Crowd_38.10" 625.267650428522 -192.912985719096
"Crowd_41.5" 207.621966406662 42.1258178133904
"Crowd_43.11" -447.426571602985 554.980233854604
"Crowd_43.13" 195.783699956689 76.2265349925696
"Crowd_44.4" 747.538814857073 -247.740219876448
"Crowd_44.7" 743.423431599069 -194.90625241572
"Crowd_46.11" -609.215001974858 -439.732431095304
"Crowd_46.21" 257.760090488907 -729.004002109541
"Crowd_47.13" 409.069912719252 604.973467939305
"Crowd_48.19" -572.515877646618 231.549095660304
"Crowd_49.5" 410.712937689178 506.714766462538
"Crowd_49.9" 269.950373599103 -341.448579618159
"Crowd_5.13" -95.0642030528113 569.08693406662
"Crowd_51.15" 712.239540503209 -447.951731218835
"Crowd_51.17" 718.417315390128 -289.658478839787
