Volume,StartPage,EndPage,Chapter,Rank,PoV,Number
AGOT15,12,21,47,48,Eddard,XIII
AGOT15,22,31,46,47,Daenerys,V
AGOT16,3,12,49,50,Eddard,XIV
AGOT16,13,25,50,51,Arya,IV
AGOT16,26,31,51,52,Sansa,IV
AGOT17,3,15,52,53,Jon,VII
AGOT17,16,24,53,54,Bran,VI
AGOT17,25,31,54,55,Daenerys,VI
AGOT18,3,13,55,56,Catelyn,VIII
AGOT18,14,23,57,58,Sansa,V
AGOT18,24,31,58,59,Eddard,XV
AGOT19,3,15,56,57,Tyrion,VII
AGOT19,16,30,59,60,Catelyn,IX
AGOT20,3,18,61,62,Daenerys,VII
AGOT20,19,31,60,61,Jon,VIII
AGOT21,3,15,62,63,Tyrion,VIII
AGOT21,16,22,63,64,Catelyn,X
AGOT21,23,30,65,66,Arya,V
AGOT22,3,17,67,68,Sansa,VI
AGOT22,18,31,64,65,Daenerys,VIII
AGOT23,3,12,66,67,Bran,VII
AGOT23,13,21,69,70,Tyrion,IX
AGOT23,22,31,68,69,Daenerys,IX
AGOT24,3,12,70,71,Jon,IX
AGOT24,13,21,71,72,Catelyn,XI
AGOT24,22,31,72,73,Daenerys,X
ACOK01,6,26,0,74,Prologue,I
ACOK02,4,9,1,75,Arya,I
ACOK02,10,15,4,78,Bran,I
ACOK02,16,24,2,76,Sansa,I
ACOK03,4,12,6,80,Jon,I
ACOK03,13,24,3,77,Tyrion,I
ACOK04,4,14,5,79,Arya,II
ACOK04,15,24,7,81,Catelyn,I
ACOK05,4,12,8,82,Tyrion,II
ACOK05,13,24,10,84,Davos,I
ACOK06,4,12,9,83,Arya,III
ACOK06,13,24,11,85,Theon,I
ACOK07,4,10,13,87,Jon,II
ACOK07,11,22,12,86,Daenerys,I
ACOK08,4,13,15,89,Tyrion,III
ACOK08,14,23,14,88,Arya,IV
ACOK09,4,15,16,90,Bran,II
ACOK09,16,24,18,92,Sansa,II
ACOK10,4,12,17,91,Tyrion,IV
ACOK10,13,24,19,93,Arya,V
ACOK11,4,10,21,95,Bran,III
ACOK11,11,23,23,97,Jon,III
ACOK12,4,12,20,94,Tyrion,V
ACOK12,13,23,22,96,Catelyn,II
ACOK13,4,14,24,98,Theon,II
ACOK13,15,24,25,99,Tyrion,VI
ACOK14,4,9,26,100,Arya,VI
ACOK14,10,16,27,101,Daenerys,II
ACOK14,17,24,28,102,Bran,IV
ACOK15,4,15,31,105,Catelyn,III
ACOK15,16,24,30,104,Arya,VII
ACOK16,4,11,29,103,Tyrion,VII
ACOK16,12,23,33,107,Catelyn,IV
ACOK17,5,11,32,106,Sansa,III
ACOK17,12,18,35,109,Bran,V
ACOK17,19,25,34,108,Jon,IV
ACOK18,4,11,36,110,Tyrion,VIII
ACOK18,12,17,37,111,Theon,III
ACOK18,18,24,38,112,Arya,VIII
ACOK19,4,12,39,113,Catelyn,V
ACOK19,13,24,41,115,Tyrion,IX
ACOK20,4,10,40,114,Daenerys,III
ACOK20,11,24,42,116,Davos,II
ACOK21,4,17,44,118,Tyrion,X
ACOK21,18,24,43,117,Jon,V
ACOK22,4,11,45,119,Catelyn,VI
ACOK22,12,23,48,122,Daenerys,IV
ACOK23,4,11,46,120,Bran,VI
ACOK23,12,24,47,121,Arya,IX
ACOK24,4,15,51,125,Jon,VI
ACOK24,16,24,50,124,Theon,IV
ACOK25,4,8,49,123,Tyrion,XI
ACOK25,9,17,52,126,Sansa,IV
ACOK25,18,24,53,127,Jon,VII
ACOK26,4,12,54,128,Tyrion,XII
ACOK26,13,24,55,129,Catelyn,VII
ACOK27,4,12,56,130,Theon,V
ACOK27,13,24,63,137,Daenerys,V
ACOK28,4,7,57,131,Sansa,V
ACOK28,8,16,58,132,Davos,III
ACOK28,17,21,59,133,Tyrion,XIII
ACOK29,4,9,60,134,Sansa,VI
ACOK29,10,18,61,135,Tyrion,XIV
ACOK29,19,24,62,136,Sansa,VII
ACOK30,4,16,64,138,Arya,X
ACOK30,17,24,65,139,Sansa,VIII
ACOK31,4,13,67,141,Tyrion,XV
ACOK31,14,24,66,140,Theon,VI
ACOK32,4,15,68,142,Jon,VIII
ACOK32,16,24,69,143,Bran,VII
