Volume,StartPage,EndPage,Chapter,Rank,PoV,Number
AGOT01,3,9,0,1,Prologue,I
AGOT01,10,18,1,2,Bran,I
AGOT01,19,23,2,3,Catelyn,I
AGOT01,24,31,3,4,Daenerys,I
AGOT02,3,11,4,5,Eddard,I
AGOT02,12,21,5,6,Jon,I
AGOT02,22,31,6,7,Catelyn,II
AGOT03,3,7,7,8,Arya,I
AGOT03,8,16,8,9,Bran,II
AGOT03,17,23,9,10,Tyrion,I
AGOT03,24,31,11,12,Daenerys,II
AGOT04,3,9,10,11,Jon,II
AGOT04,10,14,12,13,Eddard,II
AGOT04,15,19,13,14,Tyrion,II
AGOT04,20,31,14,15,Catelyn,III
AGOT05,3,12,15,16,Sansa,I
AGOT05,13,19,18,19,Catelyn,IV
AGOT05,20,26,16,17,Eddard,III
AGOT05,27,31,17,18,Bran,III
AGOT06,3,12,19,20,Jon,III
AGOT06,13,20,20,21,Eddard,IV
AGOT06,21,31,23,24,Daenerys,III
AGOT07,3,11,21,22,Tyrion,III
AGOT07,12,20,22,23,Arya,II
AGOT07,21,30,24,25,Bran,IV
AGOT08,3,11,25,26,Eddard,V
AGOT08,12,23,26,27,Jon,IV
AGOT08,24,31,27,28,Eddard,VI
AGOT09,3,7,28,29,Catelyn,V
AGOT09,8,19,29,30,Sansa,II
AGOT09,20,31,30,31,Eddard,VII
AGOT10,3,13,31,32,Tyrion,IV
AGOT10,14,24,32,33,Arya,III
AGOT10,25,31,33,34,Eddard,VIII
AGOT11,3,21,34,35,Catelyn,VI
AGOT11,22,31,36,37,Daenerys,IV
AGOT12,3,14,37,38,Bran,V
AGOT12,15,24,38,39,Tyrion,V
AGOT12,25,31,35,36,Eddard,IX
AGOT13,3,9,39,40,Eddard,X
AGOT13,10,18,41,42,Jon,V
AGOT13,19,31,40,41,Catelyn,VII
AGOT14,3,9,43,44,Eddard,XI
AGOT14,10,15,44,45,Sansa,III
AGOT14,16,24,42,43,Tyrion,VI
AGOT14,25,31,45,46,Eddard,XII
AGOT15,3,11,48,49,Jon,VI
