"SceneId";"ArcId";"Volume";"VolumeId";"StartPage";"StartPageId";"StartPanel";"StartPanelId";"EndPage";"EndPageId";"EndPanel";"EndPanelId";"Rank";"Panels";"Pages";"Characters";"MatchStart";"MatchEnd";"MatchBoth";"Characters";"Annotation"
43;1;"02";2;3;47;1;294;3;47;3;296;905;3;1;4;"TRUE";"TRUE";"TRUE";"Aaricia Gandalfsdottir,Radon l'aigle,Solveig,Tabor l'aigle";"FALSE"
45;1;"02";2;4;48;5;301;6;50;6;313;907;13;3;4;"FALSE";"TRUE";"FALSE";"Aaricia Gandalfsdottir,Radon l'aigle,Solveig,Tabor l'aigle";"FALSE"
46;1;"02";2;7;51;1;314;7;51;4;317;908;4;1;4;"TRUE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Akwila,Radon l'aigle,Tabor l'aigle";"TRUE"
407;5;"08";8;38;358;5;2218;39;359;1;2220;1211;3;2;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Chèvre_8.38";"NA"
594;6;"11";11;9;467;3;2946;10;468;1;2953;1398;8;2;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Kriss de Valnor";"TRUE"
692;6;"12";12;35;539;10;3451;35;539;10;3451;1496;1;1;2;"FALSE";"TRUE";"FALSE";"Aaricia Gandalfsdottir,Kriss de Valnor";"TRUE"
710;6;"13";13;7;557;8;3589;7;557;9;3590;1514;2;1;2;"FALSE";"TRUE";"FALSE";"Aaricia Gandalfsdottir,Bé-ki";"FALSE"
783;4;"14";14;16;612;7;3999;17;613;1;4000;78;2;2;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Villageoise_14.16";"TRUE"
784;4;"14";14;17;613;2;4001;17;613;3;4002;79;2;1;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Villageoise_14.17";"TRUE"
805;4;"14";14;35;631;1;4119;35;631;6;4124;100;6;1;2;"TRUE";"TRUE";"TRUE";"Aaricia Gandalfsdottir,Solveig";"FALSE"
923;7;"16";16;34;722;7;4785;35;723;5;4791;1676;7;2;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Loup_16.34";"FALSE"
926;7;"16";16;37;725;1;4800;37;725;3;4802;1679;3;1;2;"TRUE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Loup_16.34";"TRUE"
928;7;"16";16;37;725;5;4804;37;725;7;4806;1681;3;1;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Loup_16.34";"TRUE"
943;7;"16";16;48;736;3;4884;48;736;3;4884;1696;1;1;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Louve Thorgalsdottir";"NA"
1145;8;"20";20;3;875;1;5917;3;875;2;5918;1754;2;1;3;"TRUE";"FALSE";"FALSE";"Ernhild,Vigrid_20.3,Villageoises_20.3";"FALSE"
1216;8;"20";20;33;905;1;6138;33;905;8;6145;1825;8;1;3;"TRUE";"TRUE";"TRUE";"Aaricia Gandalfsdottir,Kriss de Valnor,Louve Thorgalsdottir";"FALSE"
1463;8;"23";23;40;1050;8;7248;40;1050;8;7248;2072;1;1;2;"FALSE";"TRUE";"FALSE";"Aaricia Gandalfsdottir,Lehla";"NA"
1500;9;"24";24;20;1076;5;7440;20;1076;7;7442;2253;3;1;3;"FALSE";"FALSE";"FALSE";"Araignée_24.20,Louve Thorgalsdottir,Séréna";"TRUE"
1506;9;"24";24;25;1081;1;7473;25;1081;5;7477;2259;5;1;2;"TRUE";"FALSE";"FALSE";"Louve Thorgalsdottir,Séréna";"FALSE"
1509;9;"24";24;26;1082;1;7480;26;1082;1;7480;2262;1;1;2;"TRUE";"FALSE";"FALSE";"Louve Thorgalsdottir,Séréna";"FALSE"
1522;9;"24";24;28;1084;1;7494;28;1084;1;7494;2275;1;1;2;"TRUE";"FALSE";"FALSE";"Louve Thorgalsdottir,Séréna";"FALSE"
1524;9;"24";24;28;1084;6;7499;28;1084;8;7501;2277;3;1;2;"FALSE";"TRUE";"FALSE";"Louve Thorgalsdottir,Séréna";"FALSE"
1617;9;"25";25;40;1142;7;7945;40;1142;7;7945;2370;1;1;2;"FALSE";"TRUE";"FALSE";"Aaricia Gandalfsdottir,Louve Thorgalsdottir";"FALSE"
1855;10;"28";28;34;1274;1;8914;35;1275;3;8924;2608;11;2;2;"TRUE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Kriss de Valnor";"FALSE"
1958;11;"30";30;7;1339;6;9394;7;1339;8;9396;2933;3;1;2;"FALSE";"TRUE";"FALSE";"Biche_30.7,Louve Thorgalsdottir";"FALSE"
1994;11;"30";30;29;1361;7;9555;29;1361;8;9556;2969;2;1;2;"FALSE";"TRUE";"FALSE";"Aaricia Gandalfsdottir,Mahara";"TRUE"
1997;11;"30";30;33;1365;1;9576;33;1365;6;9581;2972;6;1;2;"TRUE";"TRUE";"TRUE";"Aaricia Gandalfsdottir,Mahara";"FALSE"
2001;11;"30";30;39;1371;1;9614;39;1371;7;9620;2976;7;1;2;"TRUE";"TRUE";"TRUE";"Aaricia Gandalfsdottir,Mahara";"FALSE"
2005;11;"30";30;40;1372;6;9626;40;1372;6;9626;2980;1;1;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Mahara";"FALSE"
2014;11;"30";30;42;1374;4;9637;42;1374;4;9637;2989;1;1;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Mahara";"FALSE"
2017;11;"30";30;42;1374;7;9640;43;1375;1;9642;2992;3;2;2;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Mahara";"FALSE"
2020;11;"30";30;43;1375;4;9645;43;1375;7;9648;2995;4;1;2;"FALSE";"TRUE";"FALSE";"Aaricia Gandalfsdottir,Mahara";"FALSE"
2088;11;"31";31;38;1416;2;9925;38;1416;2;9925;3063;1;1;3;"FALSE";"FALSE";"FALSE";"Aaricia Gandalfsdottir,Louve Thorgalsdottir,Vigrid_20.3";"NA"
2170;12;"K1";33;3;1473;1;10337;6;1476;4;10354;2636;18;4;2;"TRUE";"FALSE";"FALSE";"Kriss de Valnor,Walkyries_K1.3";"FALSE"
2175;12;"K1";33;10;1480;2;10381;11;1481;3;10389;2641;9;2;2;"FALSE";"FALSE";"FALSE";"Kriss de Valnor,Olgave";"FALSE"
2196;12;"K1";33;22;1492;2;10476;22;1492;2;10476;2662;1;1;2;"FALSE";"FALSE";"FALSE";"Kriss de Valnor,Villageoises_K1.22";"NA"
2201;12;"K1";33;22;1492;7;10481;23;1493;2;10486;2667;6;2;2;"FALSE";"FALSE";"FALSE";"Kriss de Valnor,Olgave";"TRUE"
2246;12;"K1";33;42;1512;4;10646;42;1512;9;10651;2712;6;1;3;"FALSE";"TRUE";"FALSE";"Gorgane,Kriss de Valnor,Opale d'Alhard";"TRUE"
2247;12;"K1";33;43;1513;1;10652;43;1513;4;10655;2713;4;1;2;"TRUE";"FALSE";"FALSE";"Kriss de Valnor,Opale d'Alhard";"FALSE"
2249;12;"K1";33;43;1513;6;10657;44;1514;4;10664;2715;8;2;2;"FALSE";"FALSE";"FALSE";"Kriss de Valnor,Opale d'Alhard";"NA"
2252;12;"K1";33;45;1515;1;10671;45;1515;4;10674;2718;4;1;2;"TRUE";"FALSE";"FALSE";"Kriss de Valnor,Poupées_K1.45";"TRUE"
2253;12;"K1";33;45;1515;5;10675;46;1516;2;10677;2719;3;2;2;"FALSE";"FALSE";"FALSE";"Arlane,Kriss de Valnor";"FALSE"
2254;12;"K1";33;46;1516;3;10678;47;1517;4;10687;2720;10;2;4;"FALSE";"FALSE";"FALSE";"Arlane,Gorgane,Kriss de Valnor,Poupées_K1.45";"TRUE"
2256;12;"K1";33;47;1517;6;10689;47;1517;7;10690;2722;2;1;2;"FALSE";"FALSE";"FALSE";"Gorgane,Kriss de Valnor";"FALSE"
2258;12;"K1";33;48;1518;1;10692;48;1518;5;10696;2724;5;1;3;"TRUE";"FALSE";"FALSE";"Arlane,Kriss de Valnor,Poupées_K1.45";"TRUE"
2260;12;"K1";33;48;1518;7;10698;49;1519;3;10703;2726;6;2;2;"FALSE";"FALSE";"FALSE";"Arlane,Kriss de Valnor";"TRUE"
2262;12;"K1";33;49;1519;7;10707;49;1519;7;10707;2728;1;1;2;"FALSE";"FALSE";"FALSE";"Arlane,Kriss de Valnor";"TRUE"
2265;12;"K1";33;50;1520;1;10710;50;1520;3;10712;2731;3;1;2;"TRUE";"FALSE";"FALSE";"Arlane,Kriss de Valnor";"NA"
2275;12;"K1";33;55;1525;2;10751;55;1525;4;10753;2741;3;1;2;"FALSE";"FALSE";"FALSE";"Kriss de Valnor,Opale d'Alhard";"FALSE"
2374;14;"L1";35;3;1573;1;11081;3;1573;5;11085;3145;5;1;2;"TRUE";"FALSE";"FALSE";"Louve Thorgalsdottir,Zaya";"FALSE"
