"Volume","Page","Panel","PanelId","Characters"
"01",3,1,1,"Gandalf-le-fou;Thorgal Aegirsson"
"01",3,2,2,"Gandalf-le-fou;Thorgal Aegirsson"
"01",3,3,3,"Gandalf-le-fou;Thorgal Aegirsson"
"01",3,4,4,"Gandalf-le-fou;Thorgal Aegirsson"
"01",3,5,5,"Gandalf-le-fou;Thorgal Aegirsson"
"01",3,6,6,"Gandalf-le-fou;Thorgal Aegirsson"
"01",3,7,7,"Gandalf-le-fou;Thorgal Aegirsson"
"01",4,1,8,"Gandalf-le-fou;Thorgal Aegirsson"
"01",4,2,9,"Gandalf-le-fou;Thorgal Aegirsson"
"01",4,3,10,"Gandalf-le-fou;Thorgal Aegirsson"
"01",4,4,11,"Thorgal Aegirsson"
"01",4,5,12,"Aaricia Gandalfsdottir;Équipage_1.4;Gandalf-le-fou"
"01",4,6,13,"Aaricia Gandalfsdottir;Équipage_1.4;Gandalf-le-fou"
"01",4,7,14,"Aaricia Gandalfsdottir;Équipage_1.4;Gandalf-le-fou"
"01",5,1,15,"Aaricia Gandalfsdottir;Équipage_1.4;Gandalf-le-fou"
"01",5,2,16,"Aaricia Gandalfsdottir"
"01",5,3,17,"Thorgal Aegirsson"
"01",5,4,18,"Aaricia Gandalfsdottir"
"01",5,5,19,"Thorgal Aegirsson"
"01",5,6,20,"Thorgal Aegirsson"
"01",5,7,21,"Thorgal Aegirsson"
"01",5,8,22,"Thorgal Aegirsson"
"01",5,9,23,"Thorgal Aegirsson"
"01",6,1,24,"Thorgal Aegirsson"
"01",6,2,25,"Thorgal Aegirsson"
"01",6,3,26,"Thorgal Aegirsson"
"01",6,4,27,"Thorgal Aegirsson"
"01",6,5,28,"Thorgal Aegirsson"
"01",6,6,29,"Sharn;Slive;Thorgal Aegirsson"
"01",6,7,30,"Sharn;Slive;Thorgal Aegirsson"
"01",7,1,31,"Sharn;Slive;Thorgal Aegirsson"
"01",7,2,32,"Sharn;Slive;Thorgal Aegirsson"
"01",7,3,33,"Sharn;Slive;Thorgal Aegirsson"
